striker,venue,runs,balls,outs,avg,SR,Curr_Tm
MW Short,RCB,15,15,1,15.0,100.0,DC
MJ Owen,RR,15,11,1,15.0,136.36,DC
AM Rahane,PBKS,15,13,2,7.5,115.38,MI
VG Arora,KKR,15,14,2,7.5,107.14,KKR
Arshad Khan,MI,15,7,0,,214.29,RR
Mohammed Shami,MI,15,16,1,15.0,93.75,GT
HV Patel,DC,14,14,2,7.0,100.0,RR
Shahbaz Ahmed,KKR,14,8,0,,175.0,GT
R Powell,RCB,14,9,1,14.0,155.56,KKR
Azmatullah Omarzai,LSG,14,13,1,14.0,107.69,
SL Malinga,SRH,14,9,0,,155.56,PBKS
MG Bracewell,SRH,14,10,1,14.0,140.0,
VG Arora,MI,14,7,0,,200.0,KKR
Aryan Juyal,LSG,14,20,2,7.0,70.0,
Smaran Ravichandran,GT,14,16,2,7.0,87.5,PBKS
DS Rathi,KKR,14,8,2,7.0,175.0,KKR
TH David,KKR,14,12,1,14.0,116.67,
RD Chahar,KKR,14,20,1,14.0,70.0,
J Overton,LSG,14,9,1,14.0,155.56,
TA Boult,MI,14,17,2,7.0,82.35,MI
MJ Santner,KKR,14,10,2,7.0,140.0,KKR
RS Hangargekar,RR,14,5,1,14.0,280.0,MI
Rashid Khan,PBKS,14,14,2,7.0,100.0,GT
WL Madsen,LSG,14,11,1,14.0,127.27,MI
GD Phillips,CSK,14,8,1,14.0,175.0,GT
AB de Villiers,CSK,14,11,1,14.0,127.27,RR
Sumit Kumar,DC,14,14,1,14.0,100.0,
DS Airee,PBKS,14,11,1,14.0,127.27,RCB
Abdul Samad,MI,13,15,1,13.0,86.67,LSG
R Powell,RR,13,24,3,4.33,54.17,KKR
F du Plessis,DC,13,17,2,6.5,76.47,
Kartik Sharma,CSK,13,16,2,6.5,81.25,SRH
V Puthur,LSG,13,9,0,,144.44,DC
VG Arora,RCB,13,14,1,13.0,92.86,KKR
AR Patel,RR,13,7,1,13.0,185.71,CSK
R Parag,RCB,13,11,3,4.33,118.18,GT
JR Hazlewood,MI,13,14,1,13.0,92.86,RR
Karan Lal,RR,13,8,1,13.0,162.5,RR
JR Hazlewood,KKR,13,6,1,13.0,216.67,RR
Anmolpreet Singh,RCB,13,6,0,,216.67,CSK
SO Hetmyer,KKR,13,13,1,13.0,100.0,
SH Johnson,KKR,13,5,1,13.0,260.0,
Yudhvir Singh,RCB,13,12,1,13.0,108.33,RCB
Mukesh Kumar,KKR,13,5,2,6.5,260.0,MI
Rashid Khan,RCB,13,15,2,6.5,86.67,GT
JC Archer,MI,13,15,2,6.5,86.67,LSG
MA Starc,PBKS,13,12,1,13.0,108.33,KKR
HV Patel,LSG,13,18,1,13.0,72.22,RR
Gurjapneet Singh,RCB,13,6,0,,216.67,
JG Bethell,KKR,13,8,1,13.0,162.5,SRH
Ashutosh Sharma,PBKS,13,8,2,6.5,162.5,RCB
Sikandar Raza,MI,13,7,1,13.0,185.71,MI
Bhanu Pania,RCB,13,16,1,13.0,81.25,KKR
Ashutosh Sharma,RR,13,9,2,6.5,144.44,RCB
GD Phillips,LSG,13,8,1,13.0,162.5,GT
Azmatullah Omarzai,CSK,12,9,3,4.0,133.33,
Aniket Verma,RCB,12,7,1,12.0,171.43,RR
Ramandeep Singh,SRH,12,12,1,12.0,100.0,LSG
Aniket Verma,DC,12,6,1,12.0,200.0,RR
SZ Mulani,DC,12,10,1,12.0,120.0,LSG
Akash Vasisht,SRH,12,7,2,6.0,171.43,DC
YS Chahal,LSG,12,9,0,,133.33,RCB
Akash Vasisht,RCB,12,5,1,12.0,240.0,DC
A Badoni,GT,12,15,2,6.0,80.0,
SH Johnson,RR,12,7,1,12.0,171.43,
YS Chahal,GT,12,9,1,12.0,133.33,RCB
Fazalhaq Farooqi,CSK,12,14,3,4.0,85.71,CSK
Naveen-ul-Haq,SRH,12,6,0,,200.0,SRH
Rashid Khan,RR,12,5,0,,240.0,GT
JG Bethell,DC,12,6,0,,200.0,SRH
Harpreet Brar,GT,12,7,0,,171.43,PBKS
K Gowtham,SRH,12,7,0,,171.43,
SK Rasheed,KKR,12,7,1,12.0,171.43,
JM Bairstow,LSG,12,10,1,12.0,120.0,
AB de Villiers,MI,12,6,1,12.0,200.0,RR
MW Short,LSG,12,12,1,12.0,100.0,DC
Ramandeep Singh,MI,12,8,1,12.0,150.0,LSG
PJ Cummins,PBKS,12,11,1,12.0,109.09,RR
Bilal Zalmai,SRH,12,11,1,12.0,109.09,MI
Suyash Sharma,SRH,12,5,0,,240.0,KKR
D Padikkal,GT,12,8,2,6.0,150.0,KKR
CH Gayle,LSG,12,9,1,12.0,133.33,CSK
R Ashwin,CSK,12,12,1,12.0,100.0,
B Kumar,RCB,12,10,0,,120.0,KKR
Noor Ahmad,SRH,12,7,1,12.0,171.43,GT
R Tewatia,GT,12,8,2,6.0,150.0,KKR
M Prasidh Krishna,MI,12,6,0,,200.0,DC
BJ McMullen,PBKS,12,6,1,12.0,200.0,RR
Avesh Khan,RR,12,7,1,12.0,171.43,GT
M Markande,PBKS,12,18,2,6.0,66.67,SRH
B Kumar,LSG,12,15,1,12.0,80.0,KKR
M Shahrukh Khan,DC,12,16,1,12.0,75.0,GT
Jagjit Singh,PBKS,11,12,0,,91.67,SRH
MS Dhoni,LSG,11,6,0,,183.33,KKR
D Padikkal,CSK,11,8,0,,137.5,KKR
WL Madsen,DC,11,9,1,11.0,122.22,MI
Dhruv Jurel,PBKS,11,9,1,11.0,122.22,RCB
V Suryavanshi,RR,11,13,1,11.0,84.62,PBKS
DS Rathi,PBKS,11,6,1,11.0,183.33,KKR
RK Bhui,MI,11,10,1,11.0,110.0,PBKS
R Parag,LSG,11,6,0,,183.33,GT
Punit Bisht,MI,11,4,1,11.0,275.0,
Sanvir Singh,SRH,11,7,1,11.0,157.14,PBKS
V Shankar,DC,11,12,1,11.0,91.67,
DJ Hooda,PBKS,11,7,2,5.5,157.14,LSG
M Jansen,GT,11,13,2,5.5,84.62,
Arshdeep Singh,LSG,11,8,1,11.0,137.5,LSG
NT Ellis,SRH,11,13,2,5.5,84.62,SRH
V Kohli,RR,11,7,2,5.5,157.14,DC
Sanvir Singh,DC,11,4,1,11.0,275.0,PBKS
MK Lomror,DC,11,11,1,11.0,100.0,SRH
DA Miller,MI,11,11,1,11.0,100.0,
LUVNITH SISODIA,SRH,10,11,1,10.0,90.91,LSG
AB de Villiers,PBKS,10,6,1,10.0,166.67,RR
HC Brook,RR,10,5,1,10.0,200.0,MI
JM Bairstow,CSK,10,13,1,10.0,76.92,
GD Phillips,MI,10,7,0,,142.86,GT
WL Madsen,GT,10,4,0,,250.0,MI
JJ Smit,PBKS,10,5,0,,200.0,PBKS
TU Deshpande,MI,10,11,1,10.0,90.91,DC
Harpreet Brar,DC,10,11,1,10.0,90.91,PBKS
Rasikh Salam,PBKS,10,11,1,10.0,90.91,GT
BM Duckett,KKR,10,8,1,10.0,125.0,PBKS
A Mhatre,RCB,10,9,1,10.0,111.11,RR
Rashid Khan,SRH,10,7,0,,142.86,GT
PHKD Mendis,LSG,10,18,1,10.0,55.56,SRH
D Wiese,PBKS,10,5,0,,200.0,GT
MG Bracewell,PBKS,10,7,2,5.0,142.86,
CJ Green,PBKS,10,10,1,10.0,100.0,
AJ Turner,RR,10,9,1,10.0,111.11,
M Theekshana,LSG,10,13,1,10.0,76.92,
SP Narine,PBKS,10,10,2,5.0,100.0,KKR
Arshad Khan,LSG,10,16,0,,62.5,RR
D Ferreira,RCB,10,10,0,,100.0,
TA Boult,KKR,10,8,1,10.0,125.0,MI
J Suchith,RCB,10,9,1,10.0,111.11,
AJ Tye,GT,10,8,0,,125.0,
Mohammed Shami,RCB,10,5,0,,200.0,GT
Ashutosh Aman,RCB,10,5,1,10.0,200.0,RCB
JC Archer,RCB,9,11,2,4.5,81.82,LSG
JC Buttler,GT,9,7,1,9.0,128.57,LSG
M Pathirana,PBKS,9,7,1,9.0,128.57,RCB
D Visser,PBKS,9,13,1,9.0,69.23,
Suryansh Shedge,MI,9,6,2,4.5,150.0,CSK
A Raghuvanshi,PBKS,9,7,2,4.5,128.57,KKR
Mohammed Shami,DC,9,7,0,,128.57,GT
R Tewatia,SRH,9,10,1,9.0,90.0,KKR
M Shahrukh Khan,RR,9,6,2,4.5,150.0,GT
A Manohar,GT,9,9,1,9.0,100.0,
V Nigam,PBKS,9,3,0,,300.0,MI
YS Chahal,SRH,9,4,1,9.0,225.0,RCB
Shahbaz Ahmed,GT,9,9,2,4.5,100.0,GT
LH Ferguson,MI,9,14,1,9.0,64.29,
YS Chahal,PBKS,9,5,1,9.0,180.0,RCB
Avesh Khan,GT,9,11,2,4.5,81.82,GT
Bal Krishna,SRH,9,8,1,9.0,112.5,
Mohammad Nabi,CSK,9,5,1,9.0,180.0,LSG
HC Brook,LSG,9,8,1,9.0,112.5,MI
MP Yadav,MI,9,8,0,,112.5,PBKS
F du Plessis,GT,9,12,2,4.5,75.0,
K Kartikeya,GT,9,4,0,,225.0,GT
M Markande,LSG,9,5,1,9.0,180.0,SRH
D Brevis,SRH,9,8,0,,112.5,RR
Tanush Kotian,RCB,9,8,1,9.0,112.5,CSK
R Ahir,MI,9,9,0,,100.0,
LH Ferguson,CSK,9,15,1,9.0,60.0,
RK Bhui,DC,9,10,1,9.0,90.0,PBKS
M Shahrukh Khan,LSG,9,12,2,4.5,75.0,GT
SM Curran,CSK,8,7,1,8.0,114.29,
Suryansh Shedge,GT,8,6,1,8.0,133.33,CSK
Sumit Kumar,GT,8,10,1,8.0,80.0,
Atharva Taide,CSK,8,5,0,,160.0,MI
VG Arora,CSK,8,4,1,8.0,200.0,KKR
Shakib Al Hasan,CSK,8,6,0,,133.33,PBKS
AS Roy,PBKS,8,10,1,8.0,80.0,LSG
Sanvir Singh,RCB,8,4,1,8.0,200.0,PBKS
Sanvir Singh,GT,8,11,0,,72.73,PBKS
D Visser,GT,8,4,1,8.0,200.0,
Sami Sohail,MI,8,5,1,8.0,160.0,MI
SZ Mulani,SRH,8,10,1,8.0,80.0,LSG
Urvil Patel,RR,8,2,0,,400.0,DC
DA Warner,KKR,8,4,1,8.0,200.0,
Mujeeb Ur Rahman,PBKS,8,4,0,,200.0,
JO Holder,RR,8,5,1,8.0,160.0,
MM Sharma,DC,8,3,0,,266.67,RR
Mayank Dagar,RR,8,7,0,,114.29,RR
MM Ali,CSK,8,10,1,8.0,80.0,
RK Bhui,PBKS,8,8,1,8.0,100.0,PBKS
JC Archer,KKR,8,8,1,8.0,100.0,LSG
PJ Cummins,RCB,8,5,1,8.0,160.0,RR
RR Rossouw,GT,8,10,1,8.0,80.0,SRH
MA Agarwal,RCB,8,8,1,8.0,100.0,RR
JD Unadkat,RR,8,8,0,,100.0,GT
MJ Owen,PBKS,8,9,1,8.0,88.89,DC
K Kartikeya,PBKS,7,2,0,,350.0,GT
AV Wankhade,LSG,7,3,0,,233.33,CSK
NT Ellis,PBKS,7,8,1,7.0,87.5,SRH
MP Stoinis,DC,7,8,1,7.0,87.5,
SM Curran,LSG,7,6,1,7.0,116.67,
JM Vince,KKR,7,15,1,7.0,46.67,RCB
AK Markram,RCB,7,7,2,3.5,100.0,DC
MP Yadav,CSK,7,7,1,7.0,100.0,PBKS
Swapnil Singh,GT,7,6,1,7.0,116.67,GT
AJ Tye,MI,7,5,1,7.0,140.0,
F du Plessis,RR,7,4,1,7.0,175.0,
Swapnil Singh,RCB,7,4,1,7.0,175.0,GT
Utkarsh Singh,DC,7,11,1,7.0,63.64,PBKS
K Rabada,CSK,7,14,0,,50.0,
SPD Smith,MI,7,10,1,7.0,70.0,CSK
PWH de Silva,GT,7,9,0,,77.78,PBKS
M Siddharth,PBKS,7,7,3,2.33,100.0,CSK
R Ravindra,PBKS,7,7,1,7.0,100.0,
Shakib Al Hasan,GT,7,5,0,,140.0,PBKS
MA Agarwal,DC,7,9,1,7.0,77.78,RR
Atharva Ankolekar,RR,7,4,1,7.0,175.0,MI
Salman Nizar,CSK,7,11,1,7.0,63.64,RR
PN Mankad,RCB,7,9,1,7.0,77.78,
D Wiese,CSK,7,2,0,,350.0,GT
R Tewatia,RR,7,8,2,3.5,87.5,KKR
M Theekshana,PBKS,7,7,0,,100.0,
MS Dhoni,RCB,7,10,0,,70.0,KKR
LS Livingstone,MI,7,12,1,7.0,58.33,RCB
Harsh Dubey,DC,7,5,0,,140.0,RR
Bal Krishna,PBKS,7,6,0,,116.67,
Mohammad Nabi,GT,7,10,2,3.5,70.0,LSG
Yuvraj Chaudhary,RR,7,3,1,7.0,233.33,RCB
N Rana,SRH,7,11,2,3.5,63.64,PBKS
Suryansh Shedge,DC,7,3,1,7.0,233.33,CSK
M Prasidh Krishna,PBKS,7,7,1,7.0,100.0,DC
M Pathirana,RR,7,4,1,7.0,175.0,RCB
R Ashwin,LSG,7,14,2,3.5,50.0,
Noor Ahmad,RR,6,1,0,,600.0,GT
MADI Hemantha,SRH,6,1,0,,600.0,
Ravi Bishnoi,RR,6,1,0,,600.0,LSG
RG Sharma,GT,6,3,1,6.0,200.0,KKR
SO Hetmyer,PBKS,6,6,1,6.0,100.0,
Tanush Kotian,MI,6,3,1,6.0,200.0,CSK
MJ Owen,KKR,6,4,1,6.0,150.0,DC
A Zampa,DC,6,8,0,,75.0,RR
MA Starc,LSG,6,6,2,3.0,100.0,KKR
R Sai Kishore,PBKS,6,3,1,6.0,200.0,MI
A Badoni,LSG,6,5,0,,120.0,
J Anderson,CSK,6,4,1,6.0,150.0,
JJ Bumrah,CSK,6,2,1,6.0,300.0,MI
FH Allen,CSK,6,6,2,3.0,100.0,PBKS
T Natarajan,RR,6,5,0,,120.0,CSK
MP Stoinis,GT,6,5,2,3.0,120.0,
CH Gayle,DC,6,6,1,6.0,100.0,CSK
A Nortje,RR,6,4,0,,150.0,
Noor Ahmad,GT,6,5,0,,120.0,GT
D Potgieter,KKR,6,5,1,6.0,120.0,DC
RM Patidar,DC,6,7,1,6.0,85.71,KKR
BJ McMullen,KKR,6,6,1,6.0,100.0,RR
KK Ahmed,KKR,6,7,1,6.0,85.71,MI
RA Bawa,DC,6,3,1,6.0,200.0,SRH
MJ Owen,CSK,6,4,0,,150.0,DC
AJ Turner,LSG,6,5,0,,120.0,
KK Ahmed,MI,6,1,0,,600.0,MI
AJ Turner,MI,6,12,1,6.0,50.0,
Sandeep Sharma,CSK,6,5,0,,120.0,RR
R Sai Kishore,RR,6,2,1,6.0,300.0,MI
HC Brook,PBKS,6,2,1,6.0,300.0,MI
Aryan Juyal,GT,6,1,0,,600.0,
JJ Bumrah,PBKS,6,4,1,6.0,150.0,MI
MS Dhoni,MI,6,5,1,6.0,120.0,KKR
AJ Tye,CSK,6,4,1,6.0,150.0,
GF Linde,SRH,6,1,0,,600.0,
MR Marsh,LSG,6,5,0,,120.0,SRH
SB Dubey,LSG,6,8,1,6.0,75.0,PBKS
CV Varun,RR,6,8,0,,75.0,PBKS
Suryansh Shedge,RR,6,8,1,6.0,75.0,CSK
PP Chawla,RR,6,7,1,6.0,85.71,
MP Yadav,RR,6,7,2,3.0,85.71,PBKS
JJ Bumrah,MI,6,7,1,6.0,85.71,MI
Mohammad Ghazanfar,SRH,6,14,2,3.0,42.86,SRH
TH David,CSK,6,2,1,6.0,300.0,
SM Curran,GT,6,5,0,,120.0,
M Pathirana,GT,6,3,0,,200.0,RCB
A Zampa,RR,6,4,1,6.0,150.0,RR
PN Mankad,SRH,6,5,1,6.0,120.0,
A Zampa,PBKS,6,9,2,3.0,66.67,RR
YS Chahal,CSK,5,6,1,5.0,83.33,RCB
AJ Hosein,SRH,5,7,1,5.0,71.43,
Salman Nizar,MI,5,7,0,,71.43,RR
Shahbaz Ahmed,LSG,5,7,2,2.5,71.43,GT
DA Miller,GT,5,5,1,5.0,100.0,
TH David,PBKS,5,3,1,5.0,166.67,
Sami Sohail,KKR,5,5,1,5.0,100.0,MI
Kartik Sharma,MI,5,5,1,5.0,100.0,SRH
Avesh Khan,MI,5,13,1,5.0,38.46,GT
Sanvir Singh,CSK,5,6,1,5.0,83.33,PBKS
Jay Gohil,SRH,5,6,1,5.0,83.33,LSG
JD Unadkat,CSK,5,3,0,,166.67,GT
JJ Bumrah,RR,5,5,2,2.5,100.0,MI
JJ Bumrah,RCB,5,4,2,2.5,125.0,MI
AV Wankhade,CSK,5,8,1,5.0,62.5,CSK
Azmatullah Omarzai,KKR,5,5,1,5.0,100.0,
JP Inglis,RCB,5,10,1,5.0,50.0,GT
JR Hazlewood,RCB,5,5,0,,100.0,RR
A Sheth,RR,5,3,0,,166.67,DC
Jagjit Singh,MI,5,5,1,5.0,100.0,SRH
KK Ahmed,LSG,5,5,0,,100.0,MI
A Sheth,PBKS,5,5,1,5.0,100.0,DC
HC Brook,SRH,5,4,1,5.0,125.0,MI
BM Duckett,DC,5,5,1,5.0,100.0,PBKS
Rashid Khan,KKR,5,8,1,5.0,62.5,GT
A Mhatre,RR,5,7,2,2.5,71.43,RR
RS Hangargekar,MI,5,2,0,,250.0,MI
RD Chahar,RR,5,4,0,,125.0,
DJ Hooda,RR,5,3,1,5.0,166.67,LSG
HH Pandya,KKR,5,8,1,5.0,62.5,MI
RD Chahar,RCB,5,3,0,,166.67,
Suyash Sharma,RR,5,7,0,,71.43,KKR
DJ Hooda,MI,5,9,1,5.0,55.56,LSG
RD Chahar,PBKS,5,3,1,5.0,166.67,
JL Smith,PBKS,5,5,1,5.0,100.0,KKR
Swapnil Singh,PBKS,4,7,1,4.0,57.14,GT
Khrievitso Kense,LSG,4,6,0,,66.67,RCB
Suryansh Shedge,RCB,4,7,1,4.0,57.14,CSK
Chirag Jani,KKR,4,1,0,,400.0,PBKS
PWH de Silva,MI,4,6,1,4.0,66.67,PBKS
M Siddharth,RR,4,2,1,4.0,200.0,CSK
M Siddharth,RCB,4,5,1,4.0,80.0,CSK
T Natarajan,MI,4,3,1,4.0,133.33,CSK
DS Rathi,SRH,4,2,0,,200.0,KKR
KA Maharaj,LSG,4,3,0,,133.33,SRH
Ravi Bishnoi,SRH,4,2,1,4.0,200.0,LSG
HR Shokeen,PBKS,4,7,0,,57.14,RR
JJ Smit,RCB,4,3,1,4.0,133.33,PBKS
SH Johnson,CSK,4,4,0,,100.0,
RK Singh,LSG,4,5,1,4.0,80.0,MI
A Nortje,RCB,4,3,1,4.0,133.33,
M Siddharth,SRH,4,1,0,,400.0,CSK
A Mishra,PBKS,4,2,1,4.0,200.0,
N Jagadeesan,GT,4,2,1,4.0,200.0,MI
DS Rathi,MI,4,5,0,,80.0,KKR
KH Pandya,PBKS,4,4,0,,100.0,SRH
Mohammed Shami,GT,4,3,1,4.0,133.33,GT
Arshdeep Singh,RCB,4,5,0,,80.0,LSG
Arshdeep Singh,RR,4,5,0,,80.0,LSG
DA Warner,CSK,4,8,1,4.0,50.0,
Salman Nizar,DC,4,2,1,4.0,200.0,RR
RA Jadeja,LSG,4,2,1,4.0,200.0,RCB
Karan Lal,LSG,4,5,0,,80.0,RR
R Tewatia,RCB,4,6,1,4.0,66.67,KKR
Yuvraj Chaudhary,SRH,4,2,1,4.0,200.0,RCB
Mukesh Kumar,RR,3,1,0,,300.0,MI
Mustafizur Rahman,MI,3,6,1,3.0,50.0,
A Badoni,KKR,3,7,1,3.0,42.86,
M Pathirana,RCB,3,20,5,0.6,15.0,RCB
Azmatullah Omarzai,DC,3,4,1,3.0,75.0,
AB de Villiers,LSG,3,4,1,3.0,75.0,RR
Mohammad Ghazanfar,PBKS,3,6,0,,50.0,SRH
AS Roy,SRH,3,4,1,3.0,75.0,LSG
R Ashwin,RCB,3,5,1,3.0,60.0,
Noor Ahmad,LSG,3,8,2,1.5,37.5,GT
Arshad Khan,GT,3,3,0,,100.0,RR
B Kumar,CSK,3,8,1,3.0,37.5,KKR
Arshdeep Singh,KKR,3,14,1,3.0,21.43,LSG
Tanush Kotian,GT,3,2,0,,150.0,CSK
PP Shaw,KKR,3,5,1,3.0,60.0,RCB
M Pathirana,LSG,3,7,0,,42.86,RCB
HV Patel,RR,3,7,1,3.0,42.86,RR
JC Archer,LSG,3,5,1,3.0,60.0,LSG
Harshit Rana,MI,3,1,0,,300.0,KKR
HS Desai,DC,3,4,1,3.0,75.0,PBKS
SN Thakur,RCB,3,4,1,3.0,75.0,RR
DA Warner,SRH,3,3,0,,100.0,
DA Miller,PBKS,3,5,1,3.0,60.0,
JC Archer,GT,3,11,2,1.5,27.27,LSG
D Wiese,GT,3,3,1,3.0,100.0,GT
Shahbaz Ahmed,RR,3,6,1,3.0,50.0,GT
J Overton,DC,3,5,0,,60.0,
CJ Jordan,CSK,3,4,0,,75.0,
Harsh Dubey,RR,3,3,0,,100.0,RR
Gaurav Puri,LSG,3,3,1,3.0,100.0,CSK
Arslan Khan,RR,2,4,1,2.0,50.0,
AJ Tye,DC,2,5,0,,40.0,
AD Russell,RR,2,5,2,1.0,40.0,DC
SM Curran,RCB,2,4,0,,50.0,
T Stubbs,KKR,2,3,1,2.0,66.67,CSK
SZ Mulani,LSG,2,4,0,,50.0,LSG
TM Head,RR,2,4,2,1.0,50.0,MI
PJ Cummins,KKR,2,3,1,2.0,66.67,RR
SO Hetmyer,RR,2,4,1,2.0,50.0,
R Shepherd,RR,2,3,1,2.0,66.67,GT
KK Ahmed,PBKS,2,3,1,2.0,66.67,MI
J Suchith,DC,2,3,1,2.0,66.67,
KD Karthik,PBKS,2,5,1,2.0,40.0,RCB
M Theekshana,DC,2,7,0,,28.57,
RR Rossouw,RR,2,5,2,1.0,40.0,SRH
Mohammad Ghazanfar,GT,2,1,0,,200.0,SRH
HV Patel,MI,2,10,4,0.5,20.0,RR
KV Sharma,DC,2,5,1,2.0,40.0,PBKS
Mohammad Nabi,RCB,2,4,0,,50.0,LSG
Ravi Bishnoi,LSG,2,4,0,,50.0,LSG
T Natarajan,SRH,2,1,0,,200.0,CSK
Gaurav Puri,SRH,2,2,1,2.0,100.0,CSK
A Sheth,KKR,2,3,0,,66.67,DC
AJ Tye,SRH,2,2,0,,100.0,
Imran Tahir,LSG,2,5,1,2.0,40.0,CSK
MA Wood,PBKS,2,2,1,2.0,100.0,PBKS
Yash Thakur,MI,2,3,1,2.0,66.67,CSK
Kuldeep Yadav,LSG,2,5,1,2.0,40.0,SRH
M Pathirana,KKR,2,2,0,,100.0,RCB
JJ Bumrah,LSG,2,2,0,,100.0,MI
CV Varun,SRH,2,3,1,2.0,66.67,PBKS
Cheepurapalli Stephen,CSK,2,4,1,2.0,50.0,
RK Bhui,GT,2,3,1,2.0,66.67,PBKS
N Wadhera,SRH,2,2,1,2.0,100.0,KKR
D Ferreira,CSK,2,3,1,2.0,66.67,
Arshdeep Singh,MI,2,6,1,2.0,33.33,LSG
MG Bracewell,GT,1,2,1,1.0,50.0,
SPD Smith,GT,1,4,1,1.0,25.0,CSK
Ravi Teja,KKR,1,5,1,1.0,20.0,DC
Noor Ahmad,RCB,1,1,0,,100.0,GT
A Zampa,KKR,1,2,0,,50.0,RR
Bhanu Pania,RR,1,5,1,1.0,20.0,KKR
A Raghuvanshi,RR,1,4,1,1.0,25.0,KKR
Rasikh Salam,KKR,1,1,0,,100.0,GT
C Sakariya,MI,1,1,0,,100.0,SRH
Mujeeb Ur Rahman,RCB,1,6,1,1.0,16.67,
MJ Santner,PBKS,1,2,1,1.0,50.0,KKR
MP Yadav,SRH,1,2,0,,50.0,PBKS
MR Marsh,RCB,1,4,1,1.0,25.0,SRH
VG Arora,LSG,1,1,0,,100.0,KKR
AK Markram,CSK,1,1,0,,100.0,DC
JM Bairstow,PBKS,1,5,1,1.0,20.0,
NT Ellis,CSK,1,9,1,1.0,11.11,SRH
AS Roy,CSK,1,1,0,,100.0,LSG
LI Meriwala,PBKS,1,2,0,,50.0,DC
MS Dhoni,SRH,1,5,2,0.5,20.0,KKR
NT Ellis,RCB,1,3,0,,33.33,SRH
V Puthur,DC,1,2,1,1.0,50.0,DC
SN Thakur,KKR,1,1,0,,100.0,RR
AD Russell,MI,1,3,1,1.0,33.33,DC
MM Ali,RCB,1,3,1,1.0,33.33,
MM Ali,PBKS,1,5,1,1.0,20.0,
MK Pandey,RCB,1,6,1,1.0,16.67,
Naveen-ul-Haq,CSK,1,3,0,,33.33,SRH
MM Ali,SRH,1,1,0,,100.0,
Aryan Juyal,PBKS,1,7,1,1.0,14.29,
PD Salt,CSK,1,3,2,0.5,33.33,RCB
YS Chahal,RR,1,1,0,,100.0,RCB
R Tewatia,KKR,1,1,0,,100.0,KKR
Harsh Dubey,PBKS,1,7,1,1.0,14.29,RR
R Shepherd,DC,1,1,0,,100.0,GT
LI Meriwala,KKR,1,1,0,,100.0,DC
Khrievitso Kense,RCB,1,1,0,,100.0,RCB
B Kumar,GT,1,3,0,,33.33,KKR
YS Chahal,RCB,1,7,3,0.33,14.29,RCB
Kuldeep Yadav,GT,1,2,0,,50.0,SRH
D Ferreira,GT,1,2,1,1.0,50.0,
M Pathirana,DC,1,1,0,,100.0,RCB
D Ferreira,DC,1,3,1,1.0,33.33,
Kuldeep Yadav,KKR,1,5,1,1.0,20.0,SRH
YV Dhull,GT,1,6,1,1.0,16.67,
A Badoni,PBKS,1,4,1,1.0,25.0,
M Shahrukh Khan,CSK,1,4,1,1.0,25.0,GT
CH Gayle,RR,1,4,1,1.0,25.0,CSK
Mukesh Kumar,GT,1,2,1,1.0,50.0,MI
CH Gayle,GT,1,2,1,1.0,50.0,CSK
D Visser,LSG,1,2,1,1.0,50.0,
Sandeep Sharma,MI,1,1,0,,100.0,RR
MJ Santner,RCB,1,1,0,,100.0,KKR
SZ Mulani,CSK,1,3,1,1.0,33.33,LSG
Ashwani Kumar,KKR,1,1,0,,100.0,RR
Ashwani Kumar,MI,1,3,2,0.5,33.33,RR
SZ Mulani,PBKS,1,4,1,1.0,25.0,LSG
Harshit Rana,RCB,1,1,0,,100.0,KKR
PN Mankad,LSG,1,3,1,1.0,33.33,
Mohammed Siraj,RR,1,2,1,1.0,50.0,LSG
Salman Nizar,SRH,1,4,1,1.0,25.0,RR
Avesh Khan,KKR,1,2,1,1.0,50.0,GT
C Sakariya,CSK,1,7,1,1.0,14.29,SRH
Mohammed Siraj,SRH,1,1,0,,100.0,LSG
MA Starc,DC,1,3,1,1.0,33.33,KKR
Mohammed Shami,PBKS,0,1,1,0.0,0.0,GT
JJ Smit,CSK,0,1,1,0.0,0.0,PBKS
S Lamichhane,DC,0,1,1,0.0,0.0,DC
HH Pandya,LSG,0,1,1,0.0,0.0,MI
Yash Dayal,KKR,0,1,1,0.0,0.0,GT
JC Archer,RR,0,1,1,0.0,0.0,LSG
Mohammed Shami,CSK,0,2,1,0.0,0.0,GT
Imran Tahir,RR,0,3,1,0.0,0.0,CSK
JJ Bumrah,KKR,0,1,1,0.0,0.0,MI
Rasikh Salam,CSK,0,2,0,,0.0,GT
Rashid Khan,CSK,0,4,1,0.0,0.0,GT
Vishnu Vinod,PBKS,0,1,1,0.0,0.0,PBKS
S Dube,LSG,0,2,2,0.0,0.0,RR
Mukesh Kumar,SRH,0,4,1,0.0,0.0,MI
Mohammad Nabi,SRH,0,1,1,0.0,0.0,LSG
Mustafizur Rahman,CSK,0,1,1,0.0,0.0,
Mujeeb Ur Rahman,SRH,0,1,1,0.0,0.0,
AB de Villiers,KKR,0,1,1,0.0,0.0,RR
MS Pepper,SRH,0,3,1,0.0,0.0,GT
Yudhvir Singh,SRH,0,1,0,,0.0,RCB
Mayank Dagar,PBKS,0,6,0,,0.0,RR
HS Desai,MI,0,1,1,0.0,0.0,PBKS
A Kamboj,RR,0,2,1,0.0,0.0,GT
HV Patel,KKR,0,1,1,0.0,0.0,RR
Ravi Teja,MI,0,4,0,,0.0,DC
R Minz,GT,0,1,1,0.0,0.0,
