striker,innings,pitch,runs,balls,outs,avg,SR,Curr_Tm
RD Chahar,1,spin,11,7,3,3.67,157.14,CSK
AR Ramjani,2,pace,11,4,1,11.0,275.0,PBKS
MK Lomror,2,neutralish,11,11,1,11.0,100.0,SRH
Sanvir Singh,1,neutralish,11,7,1,11.0,157.14,LSG
NT Ellis,2,spin,11,13,2,5.5,84.62,SRH
V Shankar,2,spin,11,12,1,11.0,91.67,
M Prasidh Krishna,1,neutralish,11,5,0,,220.0,MI
Punit Bisht,1,pace,11,4,1,11.0,275.0,
FH Allen,1,neutralish,11,9,2,5.5,122.22,PBKS
PHKD Mendis,1,pace,11,8,1,11.0,137.5,SRH
Karan Shinde,1,spin,11,7,1,11.0,157.14,RCB
Waseem Muhammad,1,neutralish,11,11,1,11.0,100.0,
MR Marsh,2,pace,10,10,1,10.0,100.0,SRH
MR Marsh,1,neutralish,10,10,0,,100.0,SRH
DL Chahar,1,pace,10,11,0,,90.91,
MJ Santner,2,pace,10,7,2,5.0,142.86,KKR
SH Johnson,2,spin,10,6,1,10.0,166.67,GT
A Mhatre,2,pace,10,10,2,5.0,100.0,KKR
M Pathirana,2,pace,10,25,6,1.67,40.0,RCB
A Badoni,1,spin,10,18,2,5.0,55.56,
Sandeep Sharma,2,pace,10,8,0,,125.0,LSG
A Sheth,2,pace,10,8,1,10.0,125.0,DC
A Raghuvanshi,2,spin,10,11,3,3.33,90.91,
Aryan Juyal,1,pace,10,10,1,10.0,100.0,
CJ Green,2,spin,10,10,1,10.0,100.0,
J Suchith,1,pace,10,9,1,10.0,111.11,
Ramandeep Singh,2,neutralish,10,6,0,,166.67,LSG
YK Pathan,2,neutralish,10,10,1,10.0,100.0,KKR
C Sakariya,1,spin,10,7,1,10.0,142.86,SRH
Harpreet Brar,1,neutralish,10,7,1,10.0,142.86,RR
M Shahrukh Khan,1,spin,10,14,2,5.0,71.43,
SS Ghosh,1,pace,9,10,1,9.0,90.0,MI
HJ Manenti,2,pace,9,7,1,9.0,128.57,PBKS
Sami Sohail,2,pace,9,9,2,4.5,100.0,
SR Hain,2,pace,9,10,1,9.0,90.0,MI
Jaskaran Singh,1,spin,9,7,0,,128.57,KKR
K Kartikeya,1,spin,9,4,0,,225.0,GT
RK Bhui,2,neutralish,9,10,1,9.0,90.0,KKR
MP Yadav,2,pace,9,10,4,2.25,90.0,PBKS
V Puthur,1,spin,9,7,0,,128.57,DC
Bal Krishna,1,pace,9,8,1,9.0,112.5,
Naseem Shah,2,pace,9,9,1,9.0,100.0,LSG
C Sakariya,2,spin,9,7,0,,128.57,SRH
Mujeeb Ur Rahman,2,spin,9,11,2,4.5,81.82,
AS Roy,1,spin,9,11,1,9.0,81.82,
D Visser,1,spin,9,13,1,9.0,69.23,
D Visser,2,spin,9,6,2,4.5,150.0,
NA Rathva,2,spin,9,10,1,9.0,90.0,RCB
R Ahir,2,pace,9,9,0,,100.0,
RR Pant,2,neutralish,9,10,2,4.5,90.0,GT
Z Khan,1,pace,9,9,0,,100.0,
R Sai Kishore,2,neutralish,9,6,1,9.0,150.0,MI
YS Chahal,2,neutralish,9,10,1,9.0,90.0,RCB
SB Dubey,2,pace,9,7,1,9.0,128.57,PBKS
Waseem Muhammad,1,pace,8,5,1,8.0,160.0,
R Tewatia,2,spin,8,8,2,4.0,100.0,KKR
Akash Vasisht,2,neutralish,8,5,1,8.0,160.0,DC
Avesh Khan,2,spin,8,7,2,4.0,114.29,GT
MM Sharma,2,spin,8,3,0,,266.67,
Atharva Taide,2,neutralish,8,5,0,,160.0,MI
Ihsanullah,2,pace,8,6,0,,133.33,DC
JD Unadkat,1,spin,8,8,0,,100.0,
A Raghuvanshi,1,spin,8,10,1,8.0,80.0,
RR Rossouw,2,spin,8,10,1,8.0,80.0,SRH
NT Ellis,2,pace,8,23,4,2.0,34.78,SRH
JJ Bumrah,1,spin,8,6,2,4.0,133.33,DC
Suryansh Shedge,1,neutralish,8,8,1,8.0,100.0,CSK
Shakib Al Hasan,1,neutralish,8,6,0,,133.33,
SPD Smith,1,spin,8,14,2,4.0,57.14,CSK
Mayank Dagar,1,spin,8,7,1,8.0,114.29,LSG
Yash Thakur,2,pace,8,18,1,8.0,44.44,PBKS
Faisal Khan,2,spin,8,6,1,8.0,133.33,
MM Ali,2,pace,8,10,1,8.0,80.0,
Suyash Sharma,1,spin,8,13,0,,61.54,KKR
JM Vince,1,spin,7,15,1,7.0,46.67,
A Sheth,2,spin,7,5,1,7.0,140.0,DC
MS Pepper,2,pace,7,7,2,3.5,100.0,RR
R Ravindra,2,spin,7,7,1,7.0,100.0,
JR Hazlewood,1,neutralish,7,9,1,7.0,77.78,RR
DJ Bravo,2,spin,7,3,1,7.0,233.33,RCB
K Rabada,1,pace,7,14,0,,50.0,
AV Wankhade,2,spin,7,3,0,,233.33,CSK
RA Bawa,1,spin,7,4,1,7.0,175.0,SRH
K Kartikeya,2,spin,7,2,0,,350.0,GT
RA Tripathi,2,spin,7,4,2,3.5,175.0,KKR
JJ Smit,2,pace,7,5,1,7.0,140.0,PBKS
Harsh Tyagi,1,spin,7,9,2,3.5,77.78,SRH
Mohammad Nabi,2,neutralish,7,6,1,7.0,116.67,LSG
HS Desai,2,spin,7,5,1,7.0,140.0,PBKS
Bal Krishna,2,pace,7,6,0,,116.67,
M Pathirana,2,spin,7,8,1,7.0,87.5,RCB
JJ Bumrah,1,neutralish,7,4,2,3.5,175.0,DC
B Kumar,1,neutralish,7,7,0,,100.0,KKR
Atharva Ankolekar,1,spin,7,4,1,7.0,175.0,MI
A Manohar,2,neutralish,7,8,2,3.5,87.5,
Swapnil Singh,2,pace,7,5,0,,140.0,CSK
Hassan Nawaz,1,spin,7,12,1,7.0,58.33,RCB
Harshit Rana,2,pace,6,5,2,3.0,120.0,KKR
C Sakariya,2,pace,6,13,3,2.0,46.15,SRH
TH David,1,neutralish,6,7,0,,85.71,PBKS
Aryan Juyal,2,neutralish,6,1,0,,600.0,
AJ Turner,1,pace,6,12,1,6.0,50.0,
JJ Bumrah,1,pace,6,10,3,2.0,60.0,DC
J Anderson,1,spin,6,4,1,6.0,150.0,
RK Bhui,1,neutralish,6,2,1,6.0,300.0,KKR
AA Kulkarni,1,pace,6,4,1,6.0,150.0,GT
CV Varun,2,neutralish,6,8,0,,75.0,PBKS
AJ Tye,2,pace,6,4,1,6.0,150.0,
D Potgieter,1,pace,6,5,1,6.0,120.0,
I Sharma,2,pace,6,3,1,6.0,200.0,RCB
A Zampa,1,spin,6,8,0,,75.0,RR
Mohammad Ghazanfar,2,spin,6,17,3,2.0,35.29,SRH
Rashid Khan,2,pace,6,13,2,3.0,46.15,RR
M Siddharth,2,neutralish,6,5,0,,120.0,CSK
MA Starc,1,spin,6,4,1,6.0,150.0,KKR
SN Thakur,1,neutralish,6,2,1,6.0,300.0,GT
SH Johnson,1,pace,6,5,0,,120.0,GT
SB Dubey,1,spin,6,8,1,6.0,75.0,PBKS
MR Marsh,1,spin,6,4,1,6.0,150.0,SRH
Ravi Bishnoi,1,pace,6,1,0,,600.0,LSG
A Nortje,1,neutralish,6,4,0,,150.0,
Pulkit Narang,2,spin,6,5,0,,120.0,RR
Noor Ahmad,1,neutralish,6,3,1,6.0,200.0,MI
A Zampa,2,neutralish,6,4,1,6.0,150.0,RR
R Sai Kishore,2,spin,6,3,1,6.0,200.0,MI
PN Mankad,2,spin,6,5,1,6.0,120.0,
PP Chawla,1,neutralish,6,7,1,6.0,85.71,
Fazalhaq Farooqi,2,neutralish,5,4,0,,125.0,CSK
A Nagwaswalla,2,pace,5,4,0,,125.0,RR
A Nagwaswalla,2,neutralish,5,4,0,,125.0,RR
T Natarajan,1,pace,5,5,2,2.5,100.0,CSK
NA Rathva,2,neutralish,5,6,2,2.5,83.33,RCB
Waqar Salamkheil,2,spin,5,10,0,,50.0,PBKS
A Mhatre,1,pace,5,6,1,5.0,83.33,KKR
MP Stoinis,1,neutralish,5,3,1,5.0,166.67,KKR
Avesh Khan,1,neutralish,5,6,1,5.0,83.33,GT
M Markande,1,spin,5,4,2,2.5,125.0,SRH
D Padikkal,1,pace,5,6,0,,83.33,KKR
DR Sams,1,pace,5,3,1,5.0,166.67,GT
AV Wankhade,2,pace,5,8,1,5.0,62.5,CSK
JD Unadkat,2,pace,5,3,0,,166.67,
Sanvir Singh,1,pace,5,6,1,5.0,83.33,LSG
KD Karthik,2,spin,5,14,3,1.67,35.71,RR
AJ Hosein,2,spin,5,7,1,5.0,71.43,
JC Archer,1,neutralish,5,8,1,5.0,62.5,LSG
Rasikh Salam,2,spin,4,1,0,,400.0,GT
N Jagadeesan,2,spin,4,2,1,4.0,200.0,
MJ Santner,1,pace,4,5,1,4.0,80.0,KKR
Fazalhaq Farooqi,1,spin,4,6,1,4.0,66.67,CSK
SN Thakur,2,pace,4,5,1,4.0,80.0,GT
Sami Sohail,1,pace,4,1,0,,400.0,
Salman Nizar,2,pace,4,2,1,4.0,200.0,
KK Ahmed,2,pace,4,7,0,,57.14,RR
Naseem Shah,1,pace,4,6,2,2.0,66.67,LSG
A Zampa,2,pace,4,3,1,4.0,133.33,RR
A Mishra,2,spin,4,2,1,4.0,200.0,
A Nortje,2,pace,4,1,0,,400.0,
MG Erasmus,2,neutralish,4,1,0,,400.0,RCB
D Padikkal,2,pace,4,2,1,4.0,200.0,KKR
Ashwin Das,1,pace,4,6,1,4.0,66.67,LSG
Noor Ahmad,1,spin,4,9,2,2.0,44.44,MI
Chirag Jani,2,spin,4,3,1,4.0,133.33,PBKS
Aryan Juyal,2,pace,4,10,1,4.0,40.0,
AS Roy,1,pace,4,7,1,4.0,57.14,
Hemang Patel,2,pace,4,3,1,4.0,133.33,GT
T Natarajan,1,spin,4,2,1,4.0,200.0,CSK
M Pathirana,1,pace,4,12,2,2.0,33.33,RCB
LI Meriwala,1,neutralish,4,4,0,,100.0,DC
HR Shokeen,1,spin,4,7,0,,57.14,RR
Anmolpreet Singh,2,neutralish,4,1,0,,400.0,CSK
M Theekshana,1,spin,3,12,2,1.5,25.0,
Harsh Dubey,2,spin,3,16,3,1.0,18.75,RCB
Ravi Teja,2,pace,3,7,1,3.0,42.86,RCB
DA Warner,1,spin,3,3,0,,100.0,
CJ Jordan,1,pace,3,4,0,,75.0,
Mustafizur Rahman,1,neutralish,3,6,1,3.0,50.0,
Harsh Dubey,2,pace,3,3,0,,100.0,RCB
K Gowtham,2,neutralish,3,6,1,3.0,50.0,
TA Boult,1,spin,3,5,1,3.0,60.0,MI
J Overton,1,spin,3,5,0,,60.0,
RA Bawa,1,pace,3,11,1,3.0,27.27,SRH
Babar Azam,1,spin,3,7,1,3.0,42.86,KKR
A Sheth,1,pace,2,3,0,,66.67,DC
Naveen-ul-Haq,2,pace,2,4,0,,50.0,SRH
Sandeep Sharma,2,spin,2,5,0,,40.0,LSG
KK Ahmed,2,spin,2,3,1,2.0,66.67,RR
Imran Tahir,2,spin,2,6,2,1.0,33.33,CSK
Abrar Ahmed,1,neutralish,2,2,0,,100.0,GT
Cheepurapalli Stephen,2,neutralish,2,4,1,2.0,50.0,CSK
AR Ramjani,1,spin,2,3,0,,66.67,PBKS
AS Roy,1,neutralish,2,3,1,2.0,66.67,
M Prasidh Krishna,2,neutralish,2,5,1,2.0,40.0,MI
Mohammad Ghazanfar,1,neutralish,2,1,0,,200.0,SRH
A Manohar,1,pace,2,2,0,,100.0,
HJ Manenti,1,pace,2,4,1,2.0,50.0,PBKS
Ashwani Kumar,2,pace,2,4,2,1.0,50.0,RR
KV Sharma,2,spin,2,5,1,2.0,40.0,
AJ Tye,1,neutralish,2,2,0,,100.0,
Fazalhaq Farooqi,1,pace,2,1,0,,200.0,CSK
Arslan Khan,1,spin,2,4,1,2.0,50.0,RR
Samarth Vyas,2,pace,2,4,1,2.0,50.0,KKR
Samarth Vyas,1,pace,2,2,1,2.0,100.0,KKR
R Shepherd,2,neutralish,2,6,2,1.0,33.33,GT
MA Wood,2,spin,2,2,1,2.0,100.0,
Vishnu Vinod,1,spin,1,3,2,0.5,33.33,RR
AS Roy,2,spin,1,2,1,1.0,50.0,
Abrar Ahmed,2,pace,1,1,0,,100.0,GT
Avesh Khan,1,spin,1,6,1,1.0,16.67,GT
KH Pandya,1,neutralish,1,1,0,,100.0,SRH
Jaskaran Singh,2,neutralish,1,1,0,,100.0,KKR
Aryan Juyal,1,spin,1,7,1,1.0,14.29,
PN Mankad,1,spin,1,3,1,1.0,33.33,
R Sai Kishore,1,pace,1,3,1,1.0,33.33,MI
PJ Cummins,2,neutralish,1,3,1,1.0,33.33,
Anmolpreet Singh,2,spin,1,2,1,1.0,50.0,CSK
Imran Tahir,1,spin,1,12,3,0.33,8.33,CSK
C Sakariya,1,neutralish,1,1,0,,100.0,SRH
Shaheen Shah Afridi,1,neutralish,1,4,1,1.0,25.0,MI
Ihsanullah,1,pace,1,1,0,,100.0,DC
SZ Mulani,1,neutralish,1,3,1,1.0,33.33,LSG
LUVNITH SISODIA,2,spin,1,3,1,1.0,33.33,LSG
Harsh Tyagi,2,spin,1,4,1,1.0,25.0,SRH
Ishaan Gadekar,2,pace,1,2,1,1.0,50.0,RCB
LI Meriwala,1,pace,1,1,0,,100.0,DC
SS Agarwal,2,spin,1,1,0,,100.0,DC
F du Plessis,2,neutralish,1,2,1,1.0,50.0,
DS Rathi,2,neutralish,1,1,0,,100.0,KKR
SO Hetmyer,1,neutralish,1,2,1,1.0,50.0,
MJ Santner,2,spin,1,1,0,,100.0,KKR
AHT Donald,2,pace,1,3,2,0.5,33.33,RCB
Ravi Teja,1,pace,1,8,2,0.5,12.5,RCB
Mohammed Siraj,2,pace,1,1,0,,100.0,
LI Meriwala,2,pace,1,2,0,,50.0,DC
YV Dhull,2,neutralish,1,6,1,1.0,16.67,
DA Miller,2,spin,1,2,1,1.0,50.0,
YS Chahal,1,pace,0,4,1,0.0,0.0,RCB
YS Chahal,1,neutralish,0,2,0,,0.0,RCB
A Mhatre,2,spin,0,4,1,0.0,0.0,KKR
A Kamboj,1,pace,0,2,1,0.0,0.0,GT
Vishnu Vinod,2,spin,0,3,1,0.0,0.0,RR
A Nortje,1,pace,0,2,1,0.0,0.0,
AHT Donald,1,pace,0,1,1,0.0,0.0,RCB
AU Rashid,1,spin,0,1,1,0.0,0.0,
Yash Thakur,1,neutralish,0,1,0,,0.0,PBKS
A Mhatre,2,neutralish,0,1,1,0.0,0.0,KKR
Yash Dayal,1,pace,0,1,1,0.0,0.0,
JC Archer,2,neutralish,0,2,1,0.0,0.0,LSG
Abrar Ahmed,2,spin,0,1,0,,0.0,GT
Kuldeep Yadav,2,pace,0,2,1,0.0,0.0,SRH
LH Ferguson,1,neutralish,0,2,1,0.0,0.0,
M Shahrukh Khan,2,pace,0,3,2,0.0,0.0,
M Theekshana,1,neutralish,0,1,1,0.0,0.0,
M Theekshana,2,pace,0,1,0,,0.0,
MG Erasmus,1,neutralish,0,1,1,0.0,0.0,RCB
SO Hetmyer,2,spin,0,1,1,0.0,0.0,
MG Erasmus,1,spin,0,1,1,0.0,0.0,RCB
MJ Suthar,2,spin,0,1,0,,0.0,
MS Pepper,2,spin,0,7,3,0.0,0.0,RR
Mayank Dagar,2,spin,0,10,1,0.0,0.0,LSG
Mohammad Nabi,1,neutralish,0,1,1,0.0,0.0,LSG
Mohammed Shami,2,spin,0,1,1,0.0,0.0,GT
Mukesh Kumar,1,pace,0,2,2,0.0,0.0,
Mukesh Kumar,2,spin,0,4,1,0.0,0.0,
Ravi Teja,1,neutralish,0,1,1,0.0,0.0,RCB
Mustafizur Rahman,2,neutralish,0,1,1,0.0,0.0,
Rasikh Salam,1,neutralish,0,1,0,,0.0,GT
N Wadhera,2,neutralish,0,2,1,0.0,0.0,KKR
Pardeep Yadav,2,pace,0,2,1,0.0,0.0,
R Ashwin,1,neutralish,0,1,1,0.0,0.0,KKR
R Minz,1,pace,0,1,1,0.0,0.0,
R Powell,1,neutralish,0,1,1,0.0,0.0,
R Powell,2,neutralish,0,1,1,0.0,0.0,
LG Pretorius,1,pace,0,1,1,0.0,0.0,
Karan Lal,2,pace,0,1,1,0.0,0.0,RR
Akash Deep,2,spin,0,1,0,,0.0,
KR Sen,2,pace,0,3,1,0.0,0.0,LSG
Akash Vasisht,2,pace,0,2,2,0.0,0.0,DC
V Shankar,2,pace,0,3,1,0.0,0.0,
Arslan Khan,2,pace,0,1,1,0.0,0.0,RR
B Kumar,2,neutralish,0,8,1,0.0,0.0,KKR
B Kumar,2,spin,0,3,2,0.0,0.0,KKR
CJ Jordan,2,pace,0,3,1,0.0,0.0,
Cheepurapalli Stephen,2,pace,0,1,1,0.0,0.0,CSK
Tanush Kotian,1,neutralish,0,1,1,0.0,0.0,CSK
D Visser,1,pace,0,1,1,0.0,0.0,
D Wiese,1,spin,0,2,2,0.0,0.0,GT
DG Nalkande,1,pace,0,3,1,0.0,0.0,SRH
DS Rathi,2,pace,0,1,1,0.0,0.0,KKR
HS Desai,1,neutralish,0,1,1,0.0,0.0,PBKS
Hemang Patel,2,spin,0,2,1,0.0,0.0,GT
J Fraser-McGurk,2,neutralish,0,1,1,0.0,0.0,KKR
Shivank Vashisth,2,spin,0,1,0,,0.0,RCB
JJ Smit,1,neutralish,0,1,1,0.0,0.0,PBKS
JM Vince,2,pace,0,2,1,0.0,0.0,
JR Hazlewood,2,neutralish,0,1,1,0.0,0.0,RR
K L Shrijith,2,spin,0,1,1,0.0,0.0,
Shadab Khan,2,spin,0,2,2,0.0,0.0,SRH
KK Ahmed,1,neutralish,0,2,1,0.0,0.0,RR
Sandeep Sharma,1,neutralish,0,1,1,0.0,0.0,LSG
MA Starc,2,neutralish,0,1,1,0.0,0.0,KKR
